Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2024-05-06,22561.6,22588.8,22409.45,22442.7,320255789.0,33417.53
2024-05-07,22489.75,22499.05,22232.05,22302.5,297815469.0,31512.26
2024-05-08,22231.2,22368.65,22185.2,22302.5,277438692.0,29717.33
2024-05-09,22224.8,22307.75,21932.4,21957.5,331327454.0,37870.88
2024-05-10,21990.95,22131.3,21950.3,22055.2,265804411.0,28717.71
2024-05-13,22027.95,22131.65,21821.05,22104.05,278186886.0,29036.08
2024-05-14,22112.9,22270.05,22081.25,22217.85,230238941.0,23741.66
2024-05-15,22255.6,22297.55,22151.75,22200.55,231935478.0,23815.79
2024-05-16,22319.2,22432.25,22054.55,22403.85,368945092.0,38836.11
2024-05-17,22415.25,22502.15,22345.65,22466.1,242654570.0,27388.67
2024-05-18,22512.85,22520.25,22470.05,22502.0,19064566.0,1572.77
2024-05-21,22404.55,22591.1,22404.55,22529.05,347591587.0,30782.35
2024-05-22,22576.6,22629.5,22483.15,22597.8,290345590.0,28556.14
2024-05-23,22614.1,22993.6,22577.45,22967.65,369767547.0,39157.65
2024-05-24,22930.75,23026.4,22908.0,22957.1,261927120.0,27966.99
2024-05-27,23038.95,23110.8,22871.2,22932.45,260006078.0,27204.54
2024-05-28,22977.15,22998.55,22858.5,22888.15,217890750.0,23054.65
2024-05-29,22762.75,22825.5,22685.45,22704.7,269932784.0,27549.09
2024-05-30,22617.45,22705.75,22417.0,22488.65,373374457.0,32991.46
2024-05-31,22568.1,22653.75,22465.1,22530.7,572122639.0,67040.32
2024-06-03,23337.9,23338.7,23062.3,23263.9,569425569.0,56418.25
2024-06-04,23179.5,23179.5,21281.45,21884.5,1006105058.0,93786.44
2024-06-05,22128.35,22670.4,21791.95,22620.35,638487077.0,64326.85
2024-06-06,22798.6,22910.15,22642.6,22821.4,480413289.0,49047.39
2024-06-07,22821.85,23320.2,22789.05,23290.15,473554898.0,47621.54
2024-06-10,23319.15,23411.9,23227.15,23259.2,304392368.0,29060.4
2024-06-11,23283.75,23389.45,23206.65,23264.85,305185666.0,29190.91
2024-06-12,23344.45,23441.95,23295.95,23322.95,295630910.0,31795.48
2024-06-13,23480.95,23481.05,23353.9,23398.9,268279841.0,30151.67
2024-06-14,23464.95,23490.4,23334.25,23465.6,223086741.0,25746.34
2024-06-18,23570.8,23579.05,23499.7,23557.9,272207297.0,29389.75
2024-06-19,23629.85,23664.0,23412.9,23516.0,328811255.0,39430.39
2024-06-20,23586.15,23624.0,23442.6,23567.0,280336970.0,33390.07
2024-06-21,23661.15,23667.1,23398.2,23501.1,609877803.0,70062.97
2024-06-24,23382.3,23558.1,23350.0,23537.85,239358460.0,24862.37
2024-06-25,23577.1,23754.15,23562.05,23721.3,298111025.0,34263.36
2024-06-26,23723.1,23889.9,23670.45,23868.8,287824687.0,33979.62
2024-06-27,23881.55,24087.45,23805.4,24044.5,515227010.0,61216.71
2024-06-28,24085.9,24174.0,23985.8,24010.6,354779832.0,41242.87
2024-07-01,23992.95,24164.0,23992.7,24141.95,242468081.0,28204.06
2024-07-02,24228.75,24236.35,24056.4,24123.85,309629240.0,34838.65
2024-07-03,24291.75,24309.15,24207.1,24286.5,289201551.0,36661.17
2024-07-04,24369.95,24401.0,24281.0,24302.15,251189844.0,28466.6
2024-07-05,24213.35,24363.0,24168.85,24323.85,298381204.0,32052.48
2024-07-08,24329.45,24344.6,24240.55,24320.55,266299131.0,26356.03
2024-07-09,24351.0,24443.6,24331.9,24433.2,250537091.0,29361.08
2024-07-10,24459.85,24461.05,24141.8,24324.45,292263786.0,35358.54
2024-07-11,24396.55,24402.65,24193.75,24315.95,306404194.0,32115.44
2024-07-12,24387.95,24592.2,24331.15,24502.15,325823474.0,39565.33
2024-07-15,24587.6,24635.05,24522.75,24586.7,305395934.0,31593.04
2024-07-16,24615.9,24661.25,24587.65,24613.0,283212233.0,28668.71
2024-07-18,24543.8,24837.75,24504.45,24800.85,350924425.0,40477.17
2024-07-19,24853.8,24854.8,24508.15,24530.9,343772965.0,33588.08
2024-07-22,24445.75,24595.2,24362.3,24509.25,324190553.0,32496.23
2024-07-23,24568.9,24582.55,24074.2,24479.05,436408768.0,44921.42
2024-07-24,24444.95,24504.25,24307.25,24413.5,366616574.0,39538.11
2024-07-25,24230.95,24426.15,24210.8,24406.1,391821970.0,37853.62
2024-07-26,24423.35,24861.15,24410.9,24834.85,383826136.0,42118.36
2024-07-29,24943.3,24999.75,24774.6,24836.1,354966070.0,37102.92
2024-07-30,24839.4,24971.75,24798.65,24857.3,384989431.0,37576.58
2024-07-31,24886.7,24984.6,24856.5,24951.15,333646302.0,35411.32
2024-08-01,25030.95,25078.3,24956.4,25010.9,431313292.0,38822.9
2024-08-02,24789.0,24851.9,24686.85,24717.7,345027881.0,35368.54
2024-08-05,24302.85,24350.05,23893.7,24055.6,486994718.0,45066.65
2024-08-06,24189.85,24382.6,23960.4,23992.55,312339387.0,31553.65
2024-08-07,24289.4,24337.7,24184.9,24297.5,317564429.0,29738.85
